ID,Pipeline,EVENT_ID,EXPRESSION,IS 2024_WR,IS 2024_PF,IS 2024_N_LIMIT,IS 2024_N_MARKET,IS 2024_GAIN,OOS 2025_WR,OOS 2025_PF,OOS 2025_N_LIMIT,OOS 2025_N_MARKET,OOS 2025_GAIN,OOS 2026_WR,OOS 2026_PF,OOS 2026_N_LIMIT,OOS 2026_N_MARKET,OOS 2026_GAIN
1,FORGE,FORGE-1,pr_diffnorm_close_vol12_vol24_48 < 0.125,0.5,0.48,29,34,-53.54,0.6,0.42,34,41,-103.83,1.0,9999.0,8,13,30.4
2,FORGE,FORGE-2,pr_diffnorm_close_vol12_vol24_48 < 0.166667,0.6,0.67,42,47,-43.57,0.6,0.45,44,55,-116.12,0.8,1.62,12,20,14.51
3,FORGE,FORGE-3,ratio_close_ret12_ret96 < -0.491437 AND pr_ratio_close_ret12_ret96_96 < 0.135417,0.3,0.14,22,23,-145.79,0.7,0.83,27,30,-13.12,0.3,0.22,7,7,-26.43
4,FORGE,FORGE-4,ratio_close_ret12_ret96 < -0.634466 AND pr_ratio_close_ret12_ret96_96 < 0.135417,0.3,0.12,18,18,-120.4,0.7,0.76,23,26,-16.85,0.3,0.22,7,7,-26.43
5,FORGE,FORGE-5,delta_ratio_close_ema03_ema12_6 < -0.0545069 AND zs_ratio_close_vol12_vol24_48 > 1,0.9,56.51,18,19,59.93,0.7,1.56,23,23,23.16,0.5,0.72,6,7,-4.46
1,TARGETOPT,TARGETOPT-1,delta_ratio_close_ema03_ema12_1 < -0.0307265,0.9,3.66,17,19,41.43,0.8,0.96,17,18,-2.13,0.8,1.15,4,4,1.47
2,TARGETOPT,TARGETOPT-2,delta_close_ret_03_1 < -0.067494 AND delta_diffnorm_close_ema03_ema12_1 < -0.254821,0.9,3.66,17,18,41.43,0.6,0.51,16,16,-36.25,1.0,9999.0,2,2,7.6
3,TARGETOPT,TARGETOPT-3,delta_close_ret_03_1 < -0.057412 AND delta_diffnorm_close_ema03_ema12_1 < -0.254821,0.8,3.38,20,21,45.49,0.6,0.55,24,25,-44.37,1.0,9999.0,2,2,7.6
4,TARGETOPT,TARGETOPT-4,pr_close_ret_03_48 > 0.8725 AND zs_ratio_close_vol05_vol24_48 > 1,0.8,1.99,16,21,24.55,0.7,0.61,19,21,-31.91,0.7,1.59,7,8,7.02
5,TARGETOPT,TARGETOPT-5,pr_close_ret_03_48 > 0.8725 AND delta_diffnorm_low_ema03_ema12_1 > 0.212031,0.9,2.93,16,21,35.07,0.6,0.67,31,33,-36.75,0.7,2.54,3,4,4.61
